"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"x[5,1]",3.422446602530875,3.36099,3.7957301177557334,3.7069284714000004,-2.6945824999999997,9.746546999999993,1.0139504018881509,1732.9998248576926,5075.278332056798
"x[6,1]",6.38396769059875,6.4291149999999995,3.996025327299449,3.841979988,-0.2556568499999999,12.883659999999997,1.0198184550423126,249.6612514517163,321.6608537225762
"x[7,1]",8.1009323449875,8.01951,3.758341379051309,3.5817540360000004,2.0103515000000005,14.339434999999996,1.0032324679945304,3379.2245519048975,2143.210190016332
"x[8,1]",7.723142723269125,7.534425000000001,3.8159317958746404,3.6487453169999995,1.6437600000000003,14.091069999999998,1.0034305067503873,4008.800890342602,6189.162516889069
"x[9,1]",11.1099061790375,11.111799999999999,3.8275202714075482,3.6419550089999992,4.7275605,17.381389999999996,1.0103824942562614,1145.389103183307,2200.959096155387
"x[10,1]",10.938850980599998,10.92885,4.046377473547229,4.177336695000001,4.265028,17.57302,1.0209109532368894,268.6238608969107,644.7860068618354
"x[11,1]",16.8324887355,16.9729,3.9532679743412813,3.855871950000002,10.149435,23.017314999999996,1.0045782950463773,1758.2892039313647,5511.399968820207
"x[12,1]",15.56269703925,15.57175,4.121615610215429,4.16744034,8.892576,22.413129999999992,1.0103133839138096,295.43598192585637,488.163920816007
"x[13,1]",11.9258734706375,11.8743,3.9066675919081613,3.794959329000001,5.476055,18.296825000000002,1.006483863851165,1377.5916916216904,2231.105905997514
"x[14,1]",11.439349547375,11.34855,3.8037353108841407,3.5789074439999986,5.218575,17.807315,1.0048387731721231,2772.980295870178,2154.6763562764645
"x[15,1]",11.3621871039,11.412099999999999,3.876839508544518,3.7686061140000002,4.9362295000000005,17.626144999999998,1.0075304575257733,2643.046449353511,5906.009405256134
"x[16,1]",12.420240702875,12.31195,3.918772968865737,3.8295558,6.2403395,19.053394999999995,1.003898303440835,2001.5391117512074,2494.0141799903076
"x[17,1]",17.38063068375,17.48825,3.9170324035214774,3.947348369999998,10.751165000000002,23.72681,1.0069971136201823,997.1486464035397,2503.4728418276704
"x[18,1]",17.25675386125,17.300150000000002,4.0397071528282,3.904649490000003,10.564675000000001,23.897529999999993,1.0167645139343917,267.56652103264946,588.3949986913289
"x[19,1]",20.177149105,20.280749999999998,3.7533146173597762,3.57655011,13.765794999999999,26.290049999999997,1.0038359366463265,4020.2829323245323,3436.6772240048886
"x[20,1]",24.3879010575,24.51475,3.8293317250810186,3.7650626999999974,17.996155,30.636315,1.0054214787333413,2788.6968985191124,4538.039557326047
"x[21,1]",21.900373375,21.8545,3.8888498186439957,3.7998296700000034,15.552245,28.24002999999999,1.006844999843648,1763.0631045579953,4833.313677992861
"x[22,1]",26.8593710875,26.9682,3.978805204517402,4.1896793400000005,20.332335,33.04916,1.0170364084322925,324.5095201406008,1434.3248269065996
"x[23,1]",28.702143375,28.6104,3.8322293308489632,3.611687730000002,22.40462,35.08954,1.0090077122092833,5395.386247567442,4834.915322082339
"x[24,1]",31.1645825875,31.043599999999998,3.813684688049147,3.6105016499999945,24.99661,37.513685,1.0051994408204137,3720.372927546045,4414.151147845305
"x[25,1]",27.1376718625,27.0433,3.842767683520006,3.711466710000001,21.046335,33.636305,1.005867358475125,1740.3756600223774,4006.0106820321253
"x[26,1]",28.27205645,28.38095,3.902467366575519,3.8773696499999994,21.593590000000003,34.27451,1.006780929075736,613.2256979596074,2008.9801453994694
"x[27,1]",23.5808508325,23.4927,3.740209455865236,3.6216952800000026,17.543854999999997,29.772375,1.0098889855626512,3165.3049130045215,3348.705621905434
"x[28,1]",23.87507509875,23.68405,3.774116554074885,3.7742548200000026,18.0383,30.251655,1.0028852082345938,2571.8800953452073,5268.992503543309
"x[29,1]",22.41952641625,22.33425,3.8191881826455725,3.7011626400000015,16.214985,28.727279999999997,1.0125692109256197,2046.9209830641141,5734.221451921549
"x[30,1]",23.334275075,23.39165,3.931920017696756,3.925035239999996,16.81822,29.757070000000002,1.0245108477377347,183.65397447982778,424.11912295568607
"x[31,1]",24.198898337499998,24.4906,4.259350961223941,3.9761849399999982,15.5892,30.587985,1.0405088692418851,90.26227588743521,27.24334809224555
"x[32,1]",25.326434850000002,25.4825,3.964893015848456,3.941047320000001,18.46716,31.675534999999996,1.029818143849576,141.4143141330686,138.88562043189967
"x[33,1]",25.60950535,25.5882,4.000204745603617,4.075889789999997,19.137620000000002,32.05964499999999,1.0130749841360236,287.28847552415436,296.5464927204094
